modeldate,subgroup,approve_estimate,approve_hi,approve_lo,disapprove_estimate,disapprove_hi,disapprove_lo,timestamp,,,,,,
1/29/2020,Voters,45.210504,49.124259,41.29675,50.713952,54.926508,46.501396,2/20/2020 18:07,46.940937,51.098947,42.782926,41.2351,45.45237,37.017831
1/28/2020,Adults,42.453035,46.121637,38.784433,52.483543,56.36999,48.597096,2/20/2020 18:06,46.872377,51.032845,42.711909,41.359235,45.574863,37.143606
1/27/2020,All polls,43.98954,48.354699,39.624381,51.463092,55.669786,47.256398,2/20/2020 18:05,46.711613,50.902028,42.521199,41.328872,45.534593,37.12315
1/26/2020,Voters,45.79354,49.831526,41.755554,50.131318,54.510723,45.751913,2/19/2020 22:41,46.720405,50.90928,42.53153,41.31942,45.528076,37.110764
1/25/2020,Adults,42.397958,45.584779,39.211136,52.329106,55.86276,48.795451,2/19/2020 22:40,46.730554,50.918235,42.542874,41.308893,45.520337,37.097448
1/24/2020,All polls,44.337416,48.865437,39.809394,50.975117,55.256465,46.693769,2/19/2020 22:39,46.738182,50.925863,42.550501,41.300254,45.51473,37.085777
1/23/2020,Voters,45.648356,49.903004,41.393709,50.012939,54.75014,45.275738,2/18/2020 23:34,46.745845,50.93324,42.558451,41.291846,45.509707,37.073984
1/22/2020,Adults,42.353427,46.120215,38.58664,52.498854,56.5582,48.439508,2/18/2020 23:33,46.755367,50.944297,42.566438,41.282842,45.50505,37.060634
1/21/2020,All polls,44.570087,49.176058,39.964116,50.954282,55.515496,46.393068,2/18/2020 23:32,46.939349,51.069797,42.8089,41.155448,45.303277,37.00762
1/20/2020,Voters,44.682075,49.12677,40.237379,51.658793,55.752224,47.565362,2/17/2020 15:09,46.942617,51.073035,42.8122,41.150057,45.300597,36.999517
1/19/2020,Adults,42.353427,46.12021,38.586645,52.498854,56.558202,48.439506,2/17/2020 15:08,46.947963,51.078311,42.817615,41.142957,45.297441,36.988474
1/18/2020,All polls,43.856667,48.611809,39.101525,51.93552,55.910576,47.960465,2/17/2020 15:07,46.951337,51.081923,42.820751,41.137882,45.296759,36.979006
1/17/2020,All polls,43.441661,47.940296,38.943027,52.239039,56.087923,48.390155,2/16/2020 13:27,46.956043,51.087679,42.824407,41.132387,45.294843,36.969931
1/16/2020,Voters,44.050822,48.290183,39.81146,52.114048,56.023859,48.204236,2/16/2020 13:32,46.960657,51.093513,42.827801,41.125978,45.291948,36.960009
1/15/2020,Adults,42.316982,46.064133,38.569832,52.473988,56.479756,48.468219,2/16/2020 13:30,46.965933,51.10163,42.830237,41.121264,45.291237,36.95129
1/14/2020,Adults,42.316982,46.064141,38.569824,52.473988,56.479786,48.46819,2/16/2020 13:31,47.536092,51.52868,43.543503,40.903461,45.081777,36.725145
1/13/2020,All polls,43.314642,47.816147,38.813138,52.1884,56.049766,48.327035,2/16/2020 13:29,47.531594,51.526255,43.536932,40.900834,45.081709,36.719959
1/12/2020,Voters,43.980874,48.227616,39.734132,52.153646,56.074478,48.232815,2/16/2020 13:33,47.526849,51.524642,43.529055,40.898226,45.082027,36.714424
1/11/2020,Voters,43.980874,48.227616,39.734132,52.153646,56.074479,48.232814,2/14/2020 9:43,47.522499,51.525019,43.51998,40.896185,45.08318,36.709191
1/10/2020,Adults,42.316982,46.064123,38.569842,52.473988,56.479763,48.468213,2/14/2020 9:42,47.51768,51.525255,43.510105,40.894087,45.08368,36.704495
1/9/2020,All polls,43.314642,47.816153,38.813131,52.1884,56.049769,48.327031,2/14/2020 9:41,47.513029,51.52607,43.499988,40.89229,45.084967,36.699612
1/8/2020,Voters,44.016157,48.288334,39.74398,52.204223,56.117718,48.290728,2/13/2020 16:57,47.508239,51.527318,43.48916,40.890215,45.08679,36.693641
1/7/2020,Adults,42.316982,46.064136,38.569829,52.473988,56.479769,48.468207,2/13/2020 16:56,47.505615,51.463536,43.547694,40.902419,45.04716,36.757678
1/6/2020,All polls,43.341663,47.860409,38.822916,52.215621,56.07534,48.355903,2/13/2020 16:55,47.50122,51.462112,43.540328,40.90018,45.047087,36.753272
1/5/2020,Adults,42.316982,46.064145,38.56982,52.473988,56.479772,48.468204,2/12/2020 17:15,47.496507,51.462009,43.531005,40.898045,45.0476,36.74849
1/4/2020,Voters,44.320303,48.523246,40.117359,51.789249,55.723782,47.854715,2/12/2020 17:16,47.49157,51.461741,43.521399,40.89612,45.047949,36.744291
1/3/2020,All polls,43.462463,47.9456,38.979327,51.971277,55.85967,48.082885,2/12/2020 17:14,47.486966,51.461663,43.51227,40.893956,45.048555,36.739356
1/2/2020,Voters,44.241162,48.456321,40.026003,51.938022,55.868914,48.00713,2/11/2020 23:04,47.482099,51.460642,43.503555,40.891777,45.049176,36.734378
1/1/2020,Adults,42.569932,46.334077,38.805788,52.389968,56.46144,48.318496,2/11/2020 23:03,47.477053,51.460513,43.493592,40.889573,45.050579,36.728568
12/31/2019,All polls,43.624559,47.988089,39.261029,51.97237,55.848387,48.096353,2/11/2020 23:02,47.38635,51.284956,43.487744,40.901499,45.015101,36.787898
